Vehicle_Number,Phone_Number,Starting_Location,Destination,Frequent_Places,cycle,ambient_temperature,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time
9411,7619353001,23,46,23,1,24,2035337,4179799,-2366,24277567,-5,0,0
9670,8199489365,1,45,35,1,24,2035337,4179823,433,24277073,-5,4195,16781
9240,9951730068,10,8,31,1,24,2035337,3966528,-2014242,24366225,-19990,3070,35703
5072,7121085528,22,12,12,1,24,2035337,3945885,-2008729,24515123,-19990,3045,53781
1359,7455744864,49,32,15,1,24,2035337,3930353,-2013381,24676052,-19990,3026,71922
6140,76534707710,43,33,19,1,24,2035337,3917439,-2011191,24853024,-19990,3011,90094
7515,9113586565,12,30,22,1,24,2035337,3906451,-2010006,25018929,-19990,3002,108281
5590,9952324187,13,39,39,1,24,2035337,3896510,-2010278,25204448,-19990,2993,126453
3265,7965617312,26,26,41,1,24,2035337,3887993,-2007997,25380116,-19990,2985,144641
608,86283511810,30,22,47,1,24,2035337,3880200,-2012028,25554437,-19990,2977,162844
7710,7179969079,27,3,27,1,24,2035337,3872695,-2012366,25732284,-19990,2972,181016
6446,87634386610,18,17,17,1,24,2035337,3866087,-2012570,25903401,-19990,2964,199219
8062,93747715110,1,35,45,1,24,2035337,3859562,-2009890,26065275,-19990,2959,217391
7139,8878083269,20,13,13,1,24,2035337,3853444,-2010511,26218010,-19990,2953,235594
5965,8883783171,16,16,11,1,24,2035337,3847748,-2009675,26368551,-19990,2947,253750
1624,9474650849,35,1,1,1,24,2035337,3842070,-2008841,26541700,-19990,2942,271984
5547,7800713251,25,14,2,1,24,2035337,3836914,-2010977,26691009,-19990,2937,290141
2042,99716810310,33,42,33,1,24,2035337,3831429,-2009842,26856101,-19990,2932,308359
1040,7785580684,0,11,23,1,24,2035337,3826466,-2012514,27008016,-19990,2928,326500
7326,9639428466,7,7,39,1,24,2035337,3821684,-2010836,27163718,-19990,2923,344750
1159,9145649786,47,48,12,1,24,2035337,3817461,-2010112,27300066,-19990,2919,362906
5771,7261297278,39,13,20,1,24,2035337,3812671,-2010856,27438378,-19990,2914,381047
7923,8750684769,26,41,41,1,24,2035337,3808261,-2008740,27582159,-19990,2910,399187
5870,7702593346,39,13,9,1,24,2035337,3803820,-2008618,27714147,-19990,2905,417281
3843,7533161722,24,6,37,1,24,2035337,3799552,-2009912,27855995,-19990,2901,435484
6828,8601152131,18,15,18,1,24,2035337,3795347,-2013653,27993833,-19990,2897,453672
481,8917510794,39,39,9,1,24,2035337,3791101,-2010399,28130780,-19990,2893,471812
